TransactionID,Date,Amount,Narration
TXN1001,2026-08-21,1979.37,Settlement for ORD1001 / PAY1001
TXN1002,2026-08-22,7648.65,Settlement for ORD1002 / PAY1002
TXN1003,2026-08-20,4032.63,Settlement for ORD1003 / PAY1003
TXN1004,2026-08-20,4355.49,Settlement for ORD1004 / PAY1004
TXN1005,2026-08-21,24186.92,Settlement for ORD1005 / PAY1005
TXN1006,2026-08-22,10560.99,Settlement for ORD1006 / PAY1006
TXN1007,2026-08-22,7843.37,Settlement for ORD1007 / PAY1007
TXN1008,2026-08-21,10164.83,Settlement for ORD1008 / PAY1008
TXN1009,2026-08-21,10213.08,Settlement for ORD1009 / PAY1009
TXN1010,2026-08-21,24004.08,Settlement for ORD1010 / PAY1010
TXN1011,2026-08-20,21612.98,Settlement for ORD1011 / PAY1011
TXN1012,2026-08-21,23221.25,Settlement for ORD1012 / PAY1012
TXN1013,2026-08-21,904.22,Settlement for ORD1013 / PAY1013
TXN1014,2026-08-21,22459.77,Settlement for ORD1014 / PAY1014
TXN1015,2026-08-21,5480.95,Settlement for ORD1015 / PAY1015
TXN1016,2026-08-22,23054.39,Settlement for ORD1016 / PAY1016
TXN1017,2026-08-22,22134.34,Settlement for ORD1017 / PAY1017
TXN1018,2026-08-21,23651.41,Settlement for ORD1018 / PAY1018
TXN1019,2026-08-20,18388.89,Settlement for ORD1019 / PAY1019
TXN1020,2026-08-22,11447.32,Settlement for ORD1020 / PAY1020
TXN1021,2026-08-22,21920.78,Settlement for ORD1021 / PAY1021
TXN1022,2026-08-21,20215.36,Settlement for ORD1022 / PAY1022
TXN1023,2026-08-20,8028.63,Settlement for ORD1023 / PAY1023
TXN1024,2026-08-21,9366.68,Settlement for ORD1024 / PAY1024
TXN1025,2026-08-22,6037.87,Settlement for ORD1025 / PAY1025
TXN1026,2026-08-21,3146.03,Settlement for ORD1026 / PAY1026
TXN1027,2026-08-22,20435.9,Settlement for ORD1027 / PAY1027
TXN1028,2026-08-21,1429.13,Settlement for ORD1028 / PAY1028
TXN1029,2026-08-22,5966.53,Settlement for ORD1029 / PAY1029
TXN1030,2026-08-20,7013.18,Settlement for ORD1030 / PAY1030
TXN1031,2026-08-22,23990.0,Settlement for ORD1031 / PAY1031
TXN1032,2026-08-20,21424.83,Settlement for ORD1032 / PAY1032
TXN1033,2026-08-21,17606.95,Settlement for ORD1033 / PAY1033
TXN1034,2026-08-22,5301.08,Settlement for ORD1034 / PAY1034
TXN1035,2026-08-21,1516.2,Settlement for ORD1035 / PAY1035
TXN1036,2026-08-21,2201.26,Settlement for ORD1036 / PAY1036
TXN1037,2026-08-21,1277.76,Settlement for ORD1037 / PAY1037
TXN1038,2026-08-22,19635.63,Settlement for ORD1038 / PAY1038
TXN1039,2026-08-22,16155.93,Settlement for ORD1039 / PAY1039
TXN1040,2026-08-22,8079.97,Settlement for ORD1040 / PAY1040
TXN1041,2026-08-23,22435.93,Settlement for ORD1041 / PAY1041
TXN1042,2026-08-22,24210.95,Settlement for ORD1042 / PAY1042
TXN1043,2026-08-23,21658.12,Settlement for ORD1043 / PAY1043
TXN1044,2026-08-23,8577.29,Settlement for ORD1044 / PAY1044
TXN1045,2026-08-23,10856.51,Settlement for ORD1045 / PAY1045
TXN1046,2026-08-21,6941.11,Settlement for ORD1046 / PAY1046
TXN1047,2026-08-23,17505.21,Settlement for ORD1047 / PAY1047
TXN1048,2026-08-22,7297.73,Settlement for ORD1048 / PAY1048
TXN1049,2026-08-21,11599.41,Settlement for ORD1049 / PAY1049
TXN1050,2026-08-21,21330.57,Settlement for ORD1050 / PAY1050
TXN1051,2026-08-23,2810.59,Settlement for ORD1051 / PAY1051
TXN1052,2026-08-23,23464.9,Settlement for ORD1052 / PAY1052
TXN1053,2026-08-22,12242.85,Settlement for ORD1053 / PAY1053
TXN1054,2026-08-22,16523.48,Settlement for ORD1054 / PAY1054
TXN1055,2026-08-23,22151.95,Settlement for ORD1055 / PAY1055
TXN1056,2026-08-22,7307.54,Settlement for ORD1056 / PAY1056
TXN1057,2026-08-23,18571.41,Settlement for ORD1057 / PAY1057
TXN1058,2026-08-21,845.93,Settlement for ORD1058 / PAY1058
TXN1059,2026-08-22,10592.9,Settlement for ORD1059 / PAY1059
TXN1060,2026-08-22,19731.07,Settlement for ORD1060 / PAY1060
TXN1061,2026-08-21,16468.14,Settlement for ORD1061 / PAY1061
TXN1062,2026-08-22,22331.73,Settlement for ORD1062 / PAY1062
TXN1063,2026-08-21,1586.35,Settlement for ORD1063 / PAY1063
TXN1064,2026-08-22,10691.77,Settlement for ORD1064 / PAY1064
TXN1065,2026-08-22,9588.23,Settlement for ORD1065 / PAY1065
TXN1066,2026-08-23,24327.32,Settlement for ORD1066 / PAY1066
TXN1067,2026-08-23,16592.04,Settlement for ORD1067 / PAY1067
TXN1068,2026-08-24,5726.65,Settlement for ORD1068 / PAY1068
TXN1069,2026-08-23,20324.68,Settlement for ORD1069 / PAY1069
TXN1070,2026-08-22,4523.42,Settlement for ORD1070 / PAY1070
TXN1071,2026-08-23,14136.35,Settlement for ORD1071 / PAY1071
TXN1072,2026-08-24,9107.98,Settlement for ORD1072 / PAY1072
TXN1073,2026-08-23,13524.14,Settlement for ORD1073 / PAY1073
TXN1074,2026-08-24,23474.82,Settlement for ORD1074 / PAY1074
TXN1075,2026-08-23,6539.68,Settlement for ORD1075 / PAY1075
TXN1076,2026-08-22,16069.71,Settlement for ORD1076 / PAY1076
TXN1077,2026-08-24,18740.91,Settlement for ORD1077 / PAY1077
TXN1078,2026-08-23,1486.88,Settlement for ORD1078 / PAY1078
TXN1079,2026-08-23,23516.11,Settlement for ORD1079 / PAY1079
TXN1080,2026-08-23,14772.3,Settlement for ORD1080 / PAY1080
TXN1081,2026-08-23,17483.31,Settlement for ORD1081 / PAY1081
TXN1082,2026-08-24,23010.9,Settlement for ORD1082 / PAY1082
TXN1083,2026-08-24,13415.13,Settlement for ORD1083 / PAY1083
TXN1084,2026-08-22,1534.73,Settlement for ORD1084 / PAY1084
TXN1085,2026-08-22,7182.33,Settlement for ORD1085 / PAY1085
TXN1086,2026-08-23,11838.66,Settlement for ORD1086 / PAY1086
TXN1087,2026-08-22,19512.57,Settlement for ORD1087 / PAY1087
TXN1088,2026-08-23,21150.25,Settlement for ORD1088 / PAY1088
TXN1089,2026-08-23,23997.81,Settlement for ORD1089 / PAY1089
TXN1090,2026-08-23,3606.11,Settlement for ORD1090 / PAY1090
TXN1091,2026-08-23,8010.37,Settlement for ORD1091 / PAY1091
TXN1092,2026-08-22,8109.81,Settlement for ORD1092 / PAY1092
TXN1093,2026-08-23,22664.58,Settlement for ORD1093 / PAY1093
TXN1094,2026-08-23,10353.2,Settlement for ORD1094 / PAY1094
TXN1095,2026-08-23,15103.1,Settlement for ORD1095 / PAY1095
TXN1096,2026-08-24,17120.65,Settlement for ORD1096 / PAY1096
TXN1097,2026-08-23,10947.62,Settlement for ORD1097 / PAY1097
TXN1098,2026-08-23,4189.39,Settlement for ORD1098 / PAY1098
TXN1099,2026-08-22,18328.87,Settlement for ORD1099 / PAY1099
TXN1100,2026-08-24,4384.1,Settlement for ORD1100 / PAY1100
TXN1101A,2026-08-24,7567.19,Settlement for ORD1101 / PAY1101
TXN1101B,2026-08-25,-7567.19,Refund payout for PAY1101
TXN1102,2026-08-23,21453.99,Settlement for ORD1102 / PAY1102
TXN1103,2026-08-24,10676.06,Settlement for ORD1103 / PAY1103
TXN1105,2026-08-23,9341.25,Settlement for ORD1105 / PAY1105
TXN1106,2026-08-24,20921.96,Settlement for ORD1106 / PAY1106
TXN1108,2026-08-23,4184.95,Settlement for ORD1108 / PAY1108
TXN1110,2026-08-26,19025.2,Settlement for ORD1110 / PAY1110
TXN1111,2026-08-23,11466.41,Settlement for ORD1111 / PAY1111
TXN1112,2026-08-23,13283.92,Settlement for ORD1112 / PAY1112
TXN1113,2026-08-24,14863.19,Settlement for ORD1113 / PAY1113
TXN1114,2026-08-24,5173.49,Settlement for ORD1114 / PAY1114
TXN1115,2026-08-27,13221.9,Settlement for ORD1115 / PAY1115
TXN1117,2026-08-29,15784.24,Settlement for ORD1117 / PAY1117
TXN1118,2026-08-24,2120.0,Settlement for ORD1118 / PAY1118
TXN1119,2026-08-24,4273.01,Settlement for ORD1119 / PAY1119
TXN1121,2026-08-23,5704.37,Settlement for ORD1121 / PAY1121
TXN1122,2026-08-24,20123.56,Settlement for ORD1122 / PAY1122
TXN1123,2026-08-23,8394.83,Settlement for ORD1123 / PAY1123
TXN1124A,2026-08-23,9026.72,Settlement for ORD1124 / PAY1124
TXN1124B,2026-08-24,-9026.72,Refund payout for PAY1124
TXN1125A,2026-08-24,2568.63,Settlement for ORD1125 / PAY1125
TXN1125B,2026-08-25,-2568.63,Refund payout for PAY1125
TXN1126,2026-08-24,11510.65,Settlement for ORD1126 / PAY1126
TXN1127,2026-08-24,10705.67,Settlement for ORD1127 / PAY1127
TXN1128,2026-08-23,9326.65,Settlement for ORD1128 / PAY1128
TXN1129,2026-08-23,2716.41,Settlement for ORD1129 / PAY1129
TXN1130,2026-08-24,14770.96,Settlement for ORD1130 / PAY1130
TXN1133,2026-08-24,6686.09,Settlement for ORD1133 / PAY1133
TXN1134,2026-08-25,6042.48,Settlement for ORD1134 / PAY1134
TXN1136A,2026-08-25,18529.18,Settlement for ORD1136 / PAY1136
TXN1136B,2026-08-26,-18529.18,Refund payout for PAY1136
TXN1137,2026-08-26,8948.68,Settlement for ORD1137 / PAY1137
TXN1138,2026-08-24,22452.08,Settlement for ORD1138 / PAY1138
TXN1139A,2026-08-25,12878.61,Settlement for ORD1139 / PAY1139
TXN1139B,2026-08-26,-12878.61,Refund payout for PAY1139
TXN1140,2026-08-24,7315.15,Settlement for ORD1140 / PAY1140
TXN1141,2026-08-29,17206.93,Settlement for ORD1141 / PAY1141
TXN1142,2026-08-25,9617.22,Settlement for ORD1142 / PAY1142
TXN1143,2026-08-25,14898.23,Settlement for ORD1143 / PAY1143
TXN1144,2026-08-24,3294.17,Settlement for ORD1144 / PAY1144
TXN1145,2026-08-24,6419.18,Settlement for ORD1145 / PAY1145
TXN1146,2026-08-28,5201.58,Settlement for ORD1146 / PAY1146
TXN1147,2026-08-25,3208.02,Settlement for ORD1147 / PAY1147
TXN1148,2026-08-25,2850.73,Settlement for ORD1148 / PAY1148
TXN1149,2026-08-25,21901.72,Settlement for ORD1149 / PAY1149
TXN1150,2026-08-25,15403.98,Settlement for ORD1150 / PAY1150
TXN1152A,2026-08-25,5301.78,Settlement for ORD1152 / PAY1152
TXN1152B,2026-08-26,-5301.78,Refund payout for PAY1152
TXN1153,2026-08-30,16485.67,Settlement for ORD1153 / PAY1153
TXN1154A,2026-08-25,10345.12,Settlement for ORD1154 / PAY1154
TXN1154B,2026-08-26,-10345.12,Refund payout for PAY1154
TXN1155A,2026-08-25,15178.48,Settlement for ORD1155 / PAY1155
TXN1155B,2026-08-26,-15178.48,Refund payout for PAY1155
TXN1156,2026-08-25,2716.25,Settlement for ORD1156 / PAY1156
TXN1157,2026-08-25,6873.6,Settlement for ORD1157 / PAY1157
TXN1158,2026-08-25,17461.19,Settlement for ORD1158 / PAY1158
TXN1159,2026-08-24,11358.71,Settlement for ORD1159 / PAY1159
TXN1160A,2026-08-25,1337.13,Settlement for ORD1160 / PAY1160
TXN1160B,2026-08-26,-1337.13,Refund payout for PAY1160
TXN1161A,2026-08-25,16799.57,Settlement for ORD1161 / PAY1161
TXN1161B,2026-08-26,-16799.57,Refund payout for PAY1161
TXN1162,2026-08-29,12632.23,Settlement for ORD1162 / PAY1162
TXN1163,2026-08-29,20107.67,Settlement for ORD1163 / PAY1163
TXN1165,2026-08-27,9699.31,Settlement for ORD1165 / PAY1165
TXN1166,2026-08-24,12804.43,Settlement for ORD1166 / PAY1166
TXN1170,2026-08-26,13865.82,Settlement for ORD1170 / PAY1170
TXN1171,2026-08-26,11094.83,Settlement for ORD1171 / PAY1171
TXN1172,2026-08-25,22311.76,Settlement for ORD1172 / PAY1172
TXN1173,2026-08-26,22793.75,Settlement for ORD1173 / PAY1173
TXN1175A,2026-08-25,12956.36,Settlement for ORD1175 / PAY1175
TXN1175B,2026-08-26,-12956.36,Refund payout for PAY1175
TXN1176,2026-08-25,8948.34,Settlement for ORD1176 / PAY1176
TXN1177,2026-08-25,4826.46,Settlement for ORD1177 / PAY1177
TXN1178,2026-08-26,2517.49,Settlement for ORD1178 / PAY1178
TXN1179,2026-08-25,2337.67,Settlement for ORD1179 / PAY1179
TXN1180A,2026-08-26,17379.16,Settlement for ORD1180 / PAY1180
TXN1180B,2026-08-27,-17379.16,Refund payout for PAY1180
TXN1181,2026-08-26,3057.78,Settlement for ORD1181 / PAY1181
TXN1182,2026-08-26,23160.27,Settlement for ORD1182 / PAY1182
TXN1183,2026-08-25,3870.0,Settlement for ORD1183 / PAY1183
TXN1184,2026-08-26,19281.05,Settlement for ORD1184 / PAY1184
TXN1185,2026-08-26,11714.89,Settlement for ORD1185 / PAY1185
TXN1187,2026-08-28,6756.28,Settlement for ORD1187 / PAY1187
TXN1188,2026-08-26,8979.64,Settlement for ORD1188 / PAY1188
TXN1189,2026-08-28,16965.69,Settlement for ORD1189 / PAY1189
TXN1190,2026-08-25,20817.92,Settlement for ORD1190 / PAY1190
TXN1191,2026-08-27,17179.42,Settlement for ORD1191 / PAY1191
TXN1192,2026-08-26,5175.04,Settlement for ORD1192 / PAY1192
TXN1193,2026-08-25,18488.21,Settlement for ORD1193 / PAY1193
TXN1194,2026-08-28,3427.91,Settlement for ORD1194 / PAY1194
TXN1195,2026-08-25,10075.9,Settlement for ORD1195 / PAY1195
TXN1196,2026-08-28,12175.53,Settlement for ORD1196 / PAY1196
TXN1197,2026-08-26,14762.6,Settlement for ORD1197 / PAY1197
