PaymentID,OrderID,Amount,Fee,GST,SettlementAmount,Date,Status
PAY1001,ORD1001,1112.76,22.26,4.01,1086.49,2026-08-21 05:07:00,captured
PAY1002,ORD1002,3918.68,78.37,14.11,3826.2,2026-08-20 22:14:00,captured
PAY1003,ORD1003,22358.4,447.17,80.49,21830.74,2026-08-21 05:47:00,captured
PAY1004,ORD1004,1278.68,25.57,4.6,1248.51,2026-08-21 04:27:00,captured
PAY1005,ORD1005,12881.2,257.62,46.37,12577.21,2026-08-20 22:14:00,captured
PAY1006,ORD1006,18042.48,360.85,64.95,17616.68,2026-08-21 03:12:00,captured
PAY1007,ORD1007,14937.01,298.74,53.77,14584.5,2026-08-20 22:28:00,captured
PAY1008,ORD1008,10854.05,217.08,39.07,10597.9,2026-08-20 21:44:00,captured
PAY1009,ORD1009,23951.72,479.03,86.23,23386.46,2026-08-20 21:13:00,captured
PAY1010,ORD1010,9808.22,196.16,35.31,9576.75,2026-08-20 20:05:00,captured
PAY1011,ORD1011,6980.76,139.62,25.13,6816.01,2026-08-21 00:38:00,captured
PAY1012,ORD1012,13637.59,272.75,49.09,13315.75,2026-08-21 06:29:00,captured
PAY1013,ORD1013,7682.87,153.66,27.66,7501.55,2026-08-20 20:35:00,captured
PAY1014,ORD1014,17762.01,355.24,63.94,17342.83,2026-08-21 04:12:00,captured
PAY1015,ORD1015,19440.17,388.8,69.98,18981.39,2026-08-21 05:14:00,captured
PAY1016,ORD1016,2974.54,59.49,10.71,2904.34,2026-08-20 22:55:00,captured
PAY1017,ORD1017,20935.71,418.71,75.37,20441.63,2026-08-21 02:40:00,captured
PAY1018,ORD1018,5632.92,112.66,20.28,5499.98,2026-08-21 00:22:00,captured
PAY1019,ORD1019,17246.92,344.94,62.09,16839.89,2026-08-21 06:59:00,captured
PAY1020,ORD1020,4692.9,93.86,16.89,4582.15,2026-08-21 04:40:00,captured
PAY1021,ORD1021,9796.66,195.93,35.27,9565.46,2026-08-20 21:29:00,captured
PAY1022,ORD1022,21149.87,423.0,76.14,20650.73,2026-08-21 05:20:00,captured
PAY1023,ORD1023,1286.46,25.73,4.63,1256.1,2026-08-20 22:52:00,captured
